organisation,supply_pipeline,working_conditions,professional_development,diversity_equity,political_framing
bera,44.4,33.3,66.7,11.1,33.3
bera_journals,40.0,0.0,60.0,0.0,0.0
chartered_college_of_teaching,20.0,0.0,100.0,60.0,0.0
conversation,25.0,50.0,25.0,0.0,50.0
eef,100.0,33.3,0.0,0.0,66.7
epi,37.5,25.0,62.5,12.5,25.0
nfer,72.2,16.7,27.8,33.3,33.3
oecd,0.0,0.0,0.0,0.0,0.0
politics_home,66.7,33.3,0.0,33.3,33.3
schools_week,57.8,40.6,23.4,7.8,50.0
teacher_tapp,33.3,16.7,33.3,0.0,50.0
tes,50.0,25.0,50.0,37.5,37.5
ucl,57.1,14.3,57.1,0.0,42.9
uk_government,44.4,38.9,38.9,5.6,61.1
uk_parliament,100.0,0.0,16.7,0.0,83.3
